Year,Block,Ecotype,No_of_Flower,Flower_FW,Stigma_FW,Flower_DW,Stigma_DW,Stigma_length,Yield,Picrocrocin,Safranal,Crocin,Total_metabolites
1,1,Bahabad,12.667,357.918,27.854,49.461,4.816,26.517,61.000,112.200,31.200,204.000,347.400
1,1,Bajestan,7.778,300.240,23.077,42.546,4.249,24.057,33.044,94.400,35.000,161.200,290.600
1,1,Bardeskan,0.889,418.450,39.975,60.125,6.500,33.500,5.778,95.400,32.000,158.100,285.500
1,1,Estahbanat,1.556,246.929,19.557,34.629,3.371,23.500,5.244,91.600,34.200,148.000,273.800
1,1,Feizabad,16.889,385.783,30.341,53.954,5.472,29.736,92.422,102.200,35.200,147.200,284.600
1,1,Ferdows,2.889,398.254,32.685,55.985,5.385,28.750,15.556,96.400,28.600,155.000,280.000
1,1,Ghaien,8.667,384.741,31.428,52.731,4.810,28.880,41.689,114.200,31.600,229.600,375.400
1,1,Gonabad,1.778,327.838,27.188,42.475,4.425,27.083,7.867,97.000,34.000,128.800,259.800
1,1,Gorgan,47.778,427.885,35.780,58.465,5.993,30.188,333.333,114.000,36.800,170.800,321.600
1,1,Kalilabad,0.222,310.800,22.900,41.800,3.800,24.000,0.844,107.100,34.000,162.500,303.600
1,1,Kashmar,3.333,326.720,25.993,46.287,4.327,27.929,14.422,98.000,30.000,177.800,305.800
1,1,Natanz,4.889,368.614,30.136,49.773,5.191,28.380,25.378,90.000,32.000,128.000,250.000
1,1,Neishabour,7.111,344.991,27.156,57.594,4.678,27.222,33.267,110.600,34.000,185.600,330.200
1,1,Roshtkhar,4.444,436.835,35.770,59.700,6.095,30.727,27.089,96.800,27.200,158.000,282.000
1,1,Torbat-Heidarieh,11.333,422.694,36.682,58.524,5.906,31.177,66.933,91.800,34.400,168.000,294.200
1,1,Torbat-Jam,59.333,413.386,32.648,56.513,5.388,29.933,319.711,110.400,30.800,173.400,314.600
1,1,Zarand,17.556,325.953,23.528,46.094,4.124,24.260,72.400,113.200,30.400,143.000,286.600
1,1,Zaveh,9.333,377.369,40.695,53.736,5.026,26.570,46.911,113.200,33.400,200.400,347.000
1,2,Bahabad,12.000,338.628,27.313,46.404,4.733,26.467,56.800,106.600,30.000,194.600,331.200
