Year,Block,Ecotype,No_of_Flower,Flower_FW,Stigma_FW,Flower_DW,Stigma_DW,Stigma_length,Yield,Picrocrocin,Safranal,Crocin,Total_metabolites
1,2,Bajestan,8.889,366.365,26.115,44.778,4.353,29.370,38.689,104.000,35.800,116.400,256.200
1,2,Bardeskan,0.444,344.050,29.600,47.050,4.650,30.000,2.067,99.900,33.500,111.500,244.900
1,2,Estahbanat,2.000,298.333,20.667,38.133,3.278,26.160,6.556,97.200,36.400,130.000,263.600
1,2,Feizabad,8.000,375.934,29.287,66.593,5.475,29.267,43.800,103.400,34.400,135.600,273.400
1,2,Ferdows,3.556,374.675,28.794,49.069,4.819,28.667,17.133,95.800,28.800,106.600,231.200
1,2,Ghaien,5.333,352.175,26.163,41.504,4.275,27.688,22.800,89.400,30.400,189.800,309.600
1,2,Gonabad,1.556,382.029,33.300,50.271,5.571,29.333,8.667,103.200,35.600,119.000,257.800
1,2,Gorgan,52.444,365.270,29.222,46.673,4.922,28.711,258.111,112.200,36.400,112.000,260.600
1,2,Kalilabad,0.667,356.200,30.000,51.400,4.967,28.000,3.311,91.900,31.800,117.200,240.900
1,2,Kashmar,14.222,331.739,21.158,39.811,3.466,25.992,49.289,80.400,29.200,98.800,208.400
1,2,Natanz,2.000,319.000,28.311,43.056,4.911,26.800,9.822,96.600,33.400,104.400,234.400
1,2,Neishabour,6.667,366.233,29.350,47.860,4.753,26.894,31.689,96.200,34.000,148.000,278.200
1,2,Roshtkhar,7.333,367.991,29.079,53.127,5.164,28.254,37.867,92.200,28.921,113.000,234.121
1,2,Torbat-Heidarieh,26.667,373.485,30.899,48.148,4.439,27.925,118.378,93.400,34.521,93.000,220.921
1,2,Torbat-Jam,65.111,350.104,24.830,45.848,4.289,25.300,279.267,101.200,30.200,151.866,283.266
1,2,Zarand,10.889,399.137,31.951,53.218,5.369,29.000,58.467,92.600,30.000,96.400,219.000
1,2,Zaveh,11.333,358.761,22.649,40.290,3.976,27.873,45.067,105.100,33.100,150.300,288.500
1,3,Bahabad,9.333,363.136,29.181,47.276,5.019,27.408,46.844,105.000,31.600,152.000,288.600
1,3,Bajestan,12.889,350.972,33.128,49.622,4.402,26.592,56.733,104.400,36.200,123.200,263.800
1,3,Bardeskan,1.556,354.971,27.286,48.914,4.543,24.900,7.067,100.250,33.050,127.000,260.300
1,3,Estahbanat,1.778,321.475,24.250,42.763,4.000,26.075,7.111,98.000,36.200,122.000,256.200
1,3,Feizabad,5.111,322.370,22.517,45.891,3.865,22.978,19.756,88.800,32.800,85.200,206.800
1,3,Ferdows,1.778,343.663,25.875,47.888,4.250,24.875,7.556,96.100,29.800,130.800,256.700
1,3,Ghaien,2.000,383.244,32.544,53.978,5.333,29.400,10.667,101.800,31.400,209.700,342.900
1,3,Gonabad,2.000,364.811,30.311,47.522,4.778,28.000,9.556,100.100,33.300,123.900,257.300
1,3,Gorgan,50.667,341.043,25.384,45.890,8.354,26.622,355.556,108.800,36.600,126.400,271.800
1,3,Kalilabad,0.444,333.500,26.450,46.600,4.383,26.000,1.948,92.100,32.000,100.200,224.300
1,3,Kashmar,10.000,335.787,24.164,48.557,4.228,25.479,42.283,95.400,31.200,115.200,241.800
1,3,Natanz,3.556,409.700,38.144,55.838,6.269,29.189,22.289,100.200,34.000,88.000,222.200
1,3,Neishabour,10.667,360.456,27.748,49.223,4.788,26.844,51.067,103.000,33.000,145.080,281.080
1,3,Roshtkhar,7.333,357.139,39.397,76.745,4.691,26.114,34.400,101.400,28.800,129.600,259.800
1,3,Torbat-Heidarieh,16.000,420.119,35.404,59.328,5.950,29.804,95.200,106.200,34.000,127.400,267.600
1,3,Torbat-Jam,65.556,352.541,25.453,47.443,4.400,26.328,288.444,112.400,30.400,121.800,264.600
1,3,Zarand,13.778,369.695,30.931,51.590,4.663,26.568,64.244,97.000,31.600,120.400,249.000
1,3,Zaveh,7.556,338.638,25.632,46.782,4.503,26.522,34.022,97.000,32.800,133.644,263.444
